Metric,Value
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,1.710996
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,3.391790
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,338
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,406
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-2.3124076641362095
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.35691314802748336
timing__hold__ws__corner:max_ff_n40C_1v95,0.4130176317854196
timing__setup__ws__corner:max_ff_n40C_1v95,17.945244020921486
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.413018
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,17.945244
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,338
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,338
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:vccd1__corner:nom_tt_025C_1v80,1.79914
design_powergrid__drop__average__net:vccd1__corner:nom_tt_025C_1v80,1.79993
design_powergrid__drop__worst__net:vccd1__corner:nom_tt_025C_1v80,0.000862578
design_powergrid__voltage__worst__net:vssd1__corner:nom_tt_025C_1v80,0.000614393
design_powergrid__drop__average__net:vssd1__corner:nom_tt_025C_1v80,0.0000673651
design_powergrid__drop__worst__net:vssd1__corner:nom_tt_025C_1v80,0.000614393
design_powergrid__voltage__worst,0.000614393
design_powergrid__voltage__worst__net:vccd1,1.79914
design_powergrid__drop__worst,0.000862578
design_powergrid__drop__worst__net:vccd1,0.000862578
design_powergrid__voltage__worst__net:vssd1,0.000614393
design_powergrid__drop__worst__net:vssd1,0.000614393
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.000066600000000000006091828430587753473446355201303958892822265625
ir__drop__worst,0.000863000000000000051791904098763552610762417316436767578125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
